tid,attribute,correct_val
2830,Address,4215 S Elmgrove St
2830,Type,Aid Response
2830,Datetime,05/12/2019 07:04:00 PM
2830,Latitude,47.529956
2830,Longitude,-122.28045
2830,Incident Number,F190048357
2831,Address,3637 33rd Av W
2831,Type,Medic Response
2831,Datetime,05/12/2019 06:53:00 PM
2831,Latitude,47.652578999999996
2831,Longitude,-122.399529
2831,Incident Number,F190048355
2832,Address,404 E Howell St
2832,Type,Aid Response
2832,Datetime,05/12/2019 06:45:00 PM
2832,Latitude,47.617738
2832,Longitude,-122.32651100000001
2832,Incident Number,F190048354
2833,Address,Corliss Av N / N 107th St
2833,Type,Scenes Of Violence 7
2833,Datetime,05/12/2019 06:39:00 PM
2833,Latitude,47.706831
2833,Longitude,-122.331277
2833,Incident Number,F190048353
2834,Address,4 Nickerson St
2834,Type,Trans to AMR
2834,Datetime,05/12/2019 06:28:00 PM
2834,Latitude,47.649764000000005
2834,Longitude,-122.357657
2834,Incident Number,F190048352
2835,Address,510 Minor Av N
2835,Type,Medic Response- 7 per Rule
2835,Datetime,05/12/2019 06:22:00 PM
2835,Latitude,47.623222
2835,Longitude,-122.333001
2835,Incident Number,F190048350
2836,Address,4412 Rainier Av S
2836,Type,Rescue Lock In/Out
2836,Datetime,05/12/2019 06:16:00 PM
2836,Latitude,47.563939000000005
2836,Longitude,-122.28814299999999
2836,Incident Number,F190048349
2837,Address,1900 5th Av
2837,Type,Aid Response
2837,Datetime,05/12/2019 06:15:00 PM
2837,Latitude,47.612958
2837,Longitude,-122.337873
2837,Incident Number,F190048347
2838,Address,5644 18th Av Sw
2838,Type,Medic Response
2838,Datetime,05/12/2019 06:15:00 PM
2838,Latitude,47.551961999999996
2838,Longitude,-122.357079
2838,Incident Number,F190048348
2839,Address,200 Lake Washington Blvd
2839,Type,Aid Response
2839,Datetime,05/12/2019 06:14:00 PM
2839,Latitude,47.602992
2839,Longitude,-122.28462900000001
2839,Incident Number,F190048345
2840,Address,8709 30th Av Ne
2840,Type,Aid Response
2840,Datetime,05/12/2019 06:11:00 PM
2840,Latitude,47.691722999999996
2840,Longitude,-122.29603600000002
2840,Incident Number,F190048344
2841,Address,401 9th Av N
2841,Type,Rescue Elevator
2841,Datetime,05/12/2019 06:07:00 PM
2841,Latitude,47.622046000000005
2841,Longitude,-122.33976000000001
2841,Incident Number,F190048343
2842,Address,756 John St
2842,Type,Automatic Fire Alarm False
2842,Datetime,05/12/2019 05:58:00 PM
2842,Latitude,47.619719
2842,Longitude,-122.342229
2842,Incident Number,F190048340
2843,Address,430 8th Av N
2843,Type,Medic Response
2843,Datetime,05/12/2019 05:57:00 PM
2843,Latitude,47.622397
2843,Longitude,-122.34106299999999
2843,Incident Number,F190048339
2844,Address,510 Minor Av N
2844,Type,Aid Response
2844,Datetime,05/12/2019 05:54:00 PM
2844,Latitude,47.623222
2844,Longitude,-122.333001
2844,Incident Number,F190048338
2845,Address,517 3rd Av
2845,Type,Aid Response
2845,Datetime,05/12/2019 05:44:00 PM
2845,Latitude,47.602171999999996
2845,Longitude,-122.330863
2845,Incident Number,F190048337
2846,Address,Eastlake Av E / Harvard Av E
2846,Type,Aid Response
2846,Datetime,05/12/2019 05:42:00 PM
2846,Latitude,47.650519
2846,Longitude,-122.32209399999999
2846,Incident Number,F190048335
2847,Address,517 3RD AV
2847,Type,Trans to AMR
2847,Datetime,05/12/2019 05:42:00 PM
2847,Latitude,47.602171999999996
2847,Longitude,-122.330863
2847,Incident Number,F190048336
2848,Address,221 10th Av S
2848,Type,Medic Response
2848,Datetime,05/12/2019 05:31:00 PM
2848,Latitude,47.600694
2848,Longitude,-122.319323
2848,Incident Number,F190048334
2849,Address,1501 E Thomas St
2849,Type,Medic Response
2849,Datetime,05/12/2019 05:30:00 PM
2849,Latitude,47.620503
2849,Longitude,-122.312698
2849,Incident Number,F190048332
2850,Address,2ND AV N / THOMAS ST
2850,Type,Medic Response
2850,Datetime,05/12/2019 05:23:00 PM
2850,Latitude,47.620926000000004
2850,Longitude,-122.35282099999999
2850,Incident Number,F190048329
2851,Address,1145 Republican St
2851,Type,Rescue Elevator
2851,Datetime,05/12/2019 05:22:00 PM
2851,Latitude,47.623193
2851,Longitude,-122.33441200000001
2851,Incident Number,F190048328
2852,Address,1st Av / Pike St
2852,Type,Scenes Of Violence 7
2852,Datetime,05/12/2019 05:17:00 PM
2852,Latitude,47.608821
2852,Longitude,-122.34001299999998
2852,Incident Number,F190048327
2853,Address,Nw 46th St / 9th Av Nw
2853,Type,Aid Response
2853,Datetime,05/12/2019 05:16:00 PM
2853,Latitude,47.662196
2853,Longitude,-122.368614
2853,Incident Number,F190048326
2854,Address,901 Boren Av
2854,Type,Automatic Fire Alarm False
2854,Datetime,05/12/2019 04:57:00 PM
2854,Latitude,47.608624
2854,Longitude,-122.324487
2854,Incident Number,F190048325
2855,Address,2362 48th Av Sw
2855,Type,Natural Gas Odor
2855,Datetime,05/12/2019 04:54:00 PM
2855,Latitude,47.582685
2855,Longitude,-122.392816
2855,Incident Number,F190048324
2856,Address,820 Nw 95th St
2856,Type,Aid Response
2856,Datetime,05/12/2019 04:52:00 PM
2856,Latitude,47.697866999999995
2856,Longitude,-122.36701599999999
2856,Incident Number,F190048321
2857,Address,1529 Pike Pl
2857,Type,Unk Odor
2857,Datetime,05/12/2019 04:50:00 PM
2857,Latitude,47.608881
2857,Longitude,-122.340897
2857,Incident Number,F190048320
2858,Address,1124 Pike St
2858,Type,Aid Response
2858,Datetime,05/12/2019 04:42:00 PM
2858,Latitude,47.61358
2858,Longitude,-122.32864199999999
2858,Incident Number,F190048319
2859,Address,4th Av / Pine St
2859,Type,Aid Response
2859,Datetime,05/12/2019 04:38:00 PM
2859,Latitude,47.611207
2859,Longitude,-122.33759199999999
2859,Incident Number,F190048315
2860,Address,151 John St
2860,Type,Rescue Elevator
2860,Datetime,05/12/2019 04:33:00 PM
2860,Latitude,47.619764
2860,Longitude,-122.354111
2860,Incident Number,F190048313
2861,Address,1167 Republican St
2861,Type,Rescue Elevator
2861,Datetime,05/12/2019 04:31:00 PM
2861,Latitude,47.62312
2861,Longitude,-122.333818
2861,Incident Number,F190048312
2862,Address,510 Minor Av N
2862,Type,Rescue Elevator
2862,Datetime,05/12/2019 04:31:00 PM
2862,Latitude,47.623222
2862,Longitude,-122.333001
2862,Incident Number,F190048314
2863,Address,424 Minor Av N
2863,Type,Rescue Elevator
2863,Datetime,05/12/2019 04:30:00 PM
2863,Latitude,47.622242
2863,Longitude,-122.332995
2863,Incident Number,F190048310
2864,Address,Thomas St / Fairview Av N
2864,Type,1RED 1 Unit
2864,Datetime,05/12/2019 04:29:00 PM
2864,Latitude,47.620839000000004
2864,Longitude,-122.334268
2864,Incident Number,F190048308
2865,Address,2001 W Garfield St
2865,Type,Auto Fire Alarm
2865,Datetime,05/12/2019 04:29:00 PM
2865,Latitude,47.633255
2865,Longitude,-122.378853
2865,Incident Number,F190048309
2866,Address,8808 6th Av Nw
2866,Type,Auto Fire Alarm
2866,Datetime,05/12/2019 04:26:00 PM
2866,Latitude,47.692854
2866,Longitude,-122.363335
2866,Incident Number,F190048307
2867,Address,11716 Evanston Av N
2867,Type,Illegal Burn
2867,Datetime,05/12/2019 04:06:00 PM
2867,Latitude,47.714240000000004
2867,Longitude,-122.35155400000001
2867,Incident Number,F190048301
2868,Address,1609 Summit Av
2868,Type,Investigate Out Of Service
2868,Datetime,05/12/2019 03:50:00 PM
2868,Latitude,47.615311
2868,Longitude,-122.32553
2868,Incident Number,F190048298
2869,Address,10345 Meridian Av N
2869,Type,Automatic Medical Alarm
2869,Datetime,05/12/2019 03:42:00 PM
2869,Latitude,47.703624
2869,Longitude,-122.333909
2869,Incident Number,F190048295
2870,Address,5th Av S / S Jackson St
2870,Type,Aid Response
2870,Datetime,05/12/2019 03:32:00 PM
2870,Latitude,47.599195
2870,Longitude,-122.32766699999999
2870,Incident Number,F190048294
2871,Address,1201 S Jackson St
2871,Type,Medic Response
2871,Datetime,05/12/2019 03:28:00 PM
2871,Latitude,47.599187
2871,Longitude,-122.317209
2871,Incident Number,F190048293
2872,Address,Nw 57th St / 24th Av Nw
2872,Type,Aid Response
2872,Datetime,05/12/2019 03:23:00 PM
2872,Latitude,47.670187
2872,Longitude,-122.38758700000001
2872,Incident Number,F190048291
2873,Address,8011 Fauntleroy Way Sw
2873,Type,1RED 1 Unit
2873,Datetime,05/12/2019 03:21:00 PM
2873,Latitude,47.531494
2873,Longitude,-122.392698
2873,Incident Number,F190048290
2874,Address,10036 Stone Av N
2874,Type,Trans to AMR
2874,Datetime,05/12/2019 03:18:00 PM
2874,Latitude,47.701636
2874,Longitude,-122.34196000000001
2874,Incident Number,F190048289
2875,Address,14047 Stone Av N
2875,Type,Aid Response Yellow
2875,Datetime,05/12/2019 03:09:00 PM
2875,Latitude,47.730773
2875,Longitude,-122.342355
2875,Incident Number,F190048287
2876,Address,2601 W Marina Pl
2876,Type,Medic Response
2876,Datetime,05/12/2019 03:05:00 PM
2876,Latitude,47.631254
2876,Longitude,-122.390196
2876,Incident Number,F190048286
2877,Address,2001 Western Av
2877,Type,Aid Response
2877,Datetime,05/12/2019 02:51:00 PM
2877,Latitude,47.610321
2877,Longitude,-122.34363700000002
2877,Incident Number,F190048284
2878,Address,7900 Rainier Av S
2878,Type,Medic Response- 6 per Rule
2878,Datetime,05/12/2019 02:46:00 PM
2878,Latitude,47.531582
2878,Longitude,-122.26998999999999
2878,Incident Number,F190048283
2879,Address,1421 Minor Av
2879,Type,Trans to AMR
2879,Datetime,05/12/2019 02:45:00 PM
2879,Latitude,47.613146
2879,Longitude,-122.327096
2879,Incident Number,F190048282
2880,Address,3735 Sw 106th St
2880,Type,Aid Response
2880,Datetime,05/12/2019 02:43:00 PM
2880,Latitude,47.508218
2880,Longitude,-122.379204
2880,Incident Number,F190048281
2881,Address,4618 13th Av S
2881,Type,Aid Response
2881,Datetime,05/12/2019 02:38:00 PM
2881,Latitude,47.561559
2881,Longitude,-122.316069
2881,Incident Number,F190048280
2882,Address,2312 3rd Av
2882,Type,Aid Response
2882,Datetime,05/12/2019 02:27:00 PM
2882,Latitude,47.614791
2882,Longitude,-122.34494
2882,Incident Number,F190048279
2883,Address,Pike Pl / Pine St
2883,Type,Trans to AMR
2883,Datetime,05/12/2019 02:19:00 PM
2883,Latitude,47.609433
2883,Longitude,-122.34183200000001
2883,Incident Number,F190048278
2884,Address,9200 2nd Av Sw
2884,Type,Medic Response
2884,Datetime,05/12/2019 02:16:00 PM
2884,Latitude,47.521244
2884,Longitude,-122.336301
2884,Incident Number,F190048277
2885,Address,6777 37th Av S
2885,Type,Aid Response
2885,Datetime,05/12/2019 02:16:00 PM
2885,Latitude,47.541764
2885,Longitude,-122.28626200000001
2885,Incident Number,F190048276
2886,Address,Western Av / Virginia St
2886,Type,Aid Response
2886,Datetime,05/12/2019 02:11:00 PM
2886,Latitude,47.610321
2886,Longitude,-122.34363700000002
2886,Incident Number,F190048274
2887,Address,106 Bell St
2887,Type,Aid Response
2887,Datetime,05/12/2019 02:11:00 PM
2887,Latitude,47.613416
2887,Longitude,-122.34646000000001
2887,Incident Number,F190048275
2888,Address,11536 7th Av Ne
2888,Type,Aid Response
2888,Datetime,05/12/2019 02:08:00 PM
2888,Latitude,47.712604999999996
2888,Longitude,-122.322024
2888,Incident Number,F190048272
2889,Address,1902 2nd Av
2889,Type,Aid Response
2889,Datetime,05/12/2019 02:07:00 PM
2889,Latitude,47.610972
2889,Longitude,-122.340465
2889,Incident Number,F190048271
2890,Address,204 3rd Av S
2890,Type,Trans to AMR
2890,Datetime,05/12/2019 02:07:00 PM
2890,Latitude,47.600843
2890,Longitude,-122.330271
2890,Incident Number,F190048273
2891,Address,4754 42nd Av Sw
2891,Type,Aid Response
2891,Datetime,05/12/2019 01:45:00 PM
2891,Latitude,47.560119
2891,Longitude,-122.38548600000001
2891,Incident Number,F190048267
2892,Address,9245 Rainier Av S
2892,Type,Scenes Of Violence 7
2892,Datetime,05/12/2019 01:43:00 PM
2892,Latitude,47.519875
2892,Longitude,-122.269051
2892,Incident Number,F190048268
2893,Address,16th Av / E Olive St
2893,Type,Aid Response
2893,Datetime,05/12/2019 01:41:00 PM
2893,Latitude,47.616446
2893,Longitude,-122.311456
2893,Incident Number,F190048266
2894,Address,7544 37th Av Ne
2894,Type,Medic Response
2894,Datetime,05/12/2019 01:40:00 PM
2894,Latitude,47.683439
2894,Longitude,-122.28838
2894,Incident Number,F190048265
2895,Address,Rainier Av S / S Dearborn St
2895,Type,Aid Response
2895,Datetime,05/12/2019 01:38:00 PM
2895,Latitude,47.595874
2895,Longitude,-122.31153
2895,Incident Number,F190048263
2896,Address,1831 8th Av
2896,Type,AFA4 - Auto Alarm 2 + 1 + 1
2896,Datetime,05/12/2019 01:29:00 PM
2896,Latitude,47.614331
2896,Longitude,-122.33443899999999
2896,Incident Number,F190048262
2897,Address,9209 35TH AV NE
2897,Type,Illegal Burn
2897,Datetime,05/12/2019 01:24:00 PM
2897,Latitude,47.695673
2897,Longitude,-122.290576
2897,Incident Number,F190048261
2898,Address,1167 Republican St
2898,Type,Aid Response
2898,Datetime,05/12/2019 01:23:00 PM
2898,Latitude,47.62312
2898,Longitude,-122.333818
2898,Incident Number,F190048259
2899,Address,8429 Dallas Av S
2899,Type,Aid Response
2899,Datetime,05/12/2019 01:23:00 PM
2899,Latitude,47.527786
2899,Longitude,-122.316244
2899,Incident Number,F190048260
2900,Address,1609 Summit Av
2900,Type,Aid Response Yellow
2900,Datetime,05/12/2019 01:21:00 PM
2900,Latitude,47.615311
2900,Longitude,-122.32553
2900,Incident Number,F190048258
2901,Address,118 Bell St
2901,Type,Aid Response
2901,Datetime,05/12/2019 01:18:00 PM
2901,Latitude,47.613496999999995
2901,Longitude,-122.346355
2901,Incident Number,F190048257
2902,Address,Ne 125th St / Lake City Way Ne
2902,Type,MVI - Motor Vehicle Incident
2902,Datetime,05/12/2019 12:53:00 PM
2902,Latitude,47.719279
2902,Longitude,-122.29523300000001
2902,Incident Number,F190048255
2903,Address,2040 43rd Av E
2903,Type,MVI - Motor Vehicle Incident
2903,Datetime,05/12/2019 12:51:00 PM
2903,Latitude,47.637229999999995
2903,Longitude,-122.277111
2903,Incident Number,F190048254
2904,Address,8552 31st Av Nw
2904,Type,Aid Response Yellow
2904,Datetime,05/12/2019 12:40:00 PM
2904,Latitude,47.691032
2904,Longitude,-122.39693799999999
2904,Incident Number,F190048252
2905,Address,1st Av / Pine St
2905,Type,Aid Response
2905,Datetime,05/12/2019 12:34:00 PM
2905,Latitude,47.609814
2905,Longitude,-122.34092199999999
2905,Incident Number,F190048251
2906,Address,12035 Aurora Av N
2906,Type,Aid Response
2906,Datetime,05/12/2019 12:19:00 PM
2906,Latitude,47.716786
2906,Longitude,-122.344889
2906,Incident Number,F190048250
2907,Address,1401 2nd Av
2907,Type,Aid Response
2907,Datetime,05/12/2019 12:14:00 PM
2907,Latitude,47.608292
2907,Longitude,-122.33799499999999
2907,Incident Number,F190048248
2908,Address,1502 E Yesler Way
2908,Type,Auto Fire Alarm
2908,Datetime,05/12/2019 12:00:00 PM
2908,Latitude,47.601686
2908,Longitude,-122.31285
2908,Incident Number,F190048245
2909,Address,Post Al / Pike Pl
2909,Type,Medic Response- 6 per Rule
2909,Datetime,05/12/2019 11:53:00 AM
2909,Latitude,47.608818
2909,Longitude,-122.34078999999998
2909,Incident Number,F190048244
2910,Address,5408 Meridian Av N
2910,Type,4RED - 2 + 1 + 1
2910,Datetime,05/12/2019 11:50:00 AM
2910,Latitude,47.667996
2910,Longitude,-122.33368999999999
2910,Incident Number,F190048243
2911,Address,12534 15th Av Ne
2911,Type,Aid Response
2911,Datetime,05/12/2019 11:43:00 AM
2911,Latitude,47.719716
2911,Longitude,-122.312678
2911,Incident Number,F190048241
2912,Address,Ne Ravenna Blvd / Ravenna Av Ne
2912,Type,Aid Response
2912,Datetime,05/12/2019 11:13:00 AM
2912,Latitude,47.669407
2912,Longitude,-122.30399799999999
2912,Incident Number,F190048238
2913,Address,9012 Corliss Av N
2913,Type,Medic Response
2913,Datetime,05/12/2019 11:12:00 AM
2913,Latitude,47.693191999999996
2913,Longitude,-122.33108999999999
2913,Incident Number,F190048237
2914,Address,4117 30th Av S
2914,Type,Alarm Bell
2914,Datetime,05/12/2019 10:55:00 AM
2914,Latitude,47.566119
2914,Longitude,-122.29576899999999
2914,Incident Number,F190048236
2915,Address,2020 S Jackson St
2915,Type,Aid Response
2915,Datetime,05/12/2019 10:52:00 AM
2915,Latitude,47.599261
2915,Longitude,-122.30525800000001
2915,Incident Number,F190048235
2916,Address,300 NE NORTHGATE WAY
2916,Type,Auto Fire Alarm
2916,Datetime,05/12/2019 10:47:00 AM
2916,Latitude,47.708611
2916,Longitude,-122.32595500000001
2916,Incident Number,F190048232
2917,Address,9999 Holman Rd Nw
2917,Type,Trans to AMR
2917,Datetime,05/12/2019 10:45:00 AM
2917,Latitude,47.701698
2917,Longitude,-122.362125
2917,Incident Number,F190048233
2918,Address,1311 Yakima Av S
2918,Type,Aid Response
2918,Datetime,05/12/2019 10:40:00 AM
2918,Latitude,47.591952
2918,Longitude,-122.294418
2918,Incident Number,F190048230
2919,Address,Rainier Av S / S Mead St
2919,Type,Aid Response
2919,Datetime,05/12/2019 10:38:00 AM
2919,Latitude,47.550425
2919,Longitude,-122.277276
2919,Incident Number,F190048229
2920,Address,5720 Rainier Av S
2920,Type,Aid Response
2920,Datetime,05/12/2019 10:37:00 AM
2920,Latitude,47.551025
2920,Longitude,-122.27758100000001
2920,Incident Number,F190048228
2921,Address,2611 S Dearborn St
2921,Type,Rescue Elevator
2921,Datetime,05/12/2019 10:33:00 AM
2921,Latitude,47.595541
2921,Longitude,-122.298643
2921,Incident Number,F190048227
2922,Address,4117 30th Av S
2922,Type,Automatic Fire Alarm Resd
2922,Datetime,05/12/2019 10:33:00 AM
2922,Latitude,47.566119
2922,Longitude,-122.29576899999999
2922,Incident Number,F190048226
2923,Address,1700 E Madison St
2923,Type,Medic Response
2923,Datetime,05/12/2019 10:23:00 AM
2923,Latitude,47.615590000000005
2923,Longitude,-122.310151
2923,Incident Number,F190048225
2924,Address,550 Broadway
2924,Type,Medic Response
2924,Datetime,05/12/2019 10:20:00 AM
2924,Latitude,47.606843
2924,Longitude,-122.320751
2924,Incident Number,F190048224
2925,Address,1215 THOMAS ST
2925,Type,Aid Response
2925,Datetime,05/12/2019 10:17:00 AM
2925,Latitude,47.620815
2925,Longitude,-122.33258500000001
2925,Incident Number,F190048223
2926,Address,11050 8th Av Ne
2926,Type,Trans to AMR
2926,Datetime,05/12/2019 10:09:00 AM
2926,Latitude,47.708935
2926,Longitude,-122.32056899999999
2926,Incident Number,F190048221
2927,Address,6437 30th Av Sw
2927,Type,Aid Response
2927,Datetime,05/12/2019 09:36:00 AM
2927,Latitude,47.545285
2927,Longitude,-122.370255
2927,Incident Number,F190048219
2928,Address,914 James St
2928,Type,Aid Response
2928,Datetime,05/12/2019 09:31:00 AM
2928,Latitude,47.605621
2928,Longitude,-122.324591
2928,Incident Number,F190048218
2929,Address,Sb I5 At Mid Boeing Field
2929,Type,Rescue Extrication
2929,Datetime,05/12/2019 09:16:00 AM
2929,Latitude,47.545460999999996
2929,Longitude,-122.308073
2929,Incident Number,F190048217
2930,Address,4550 16th Av Ne
2930,Type,Aid Response
2930,Datetime,05/12/2019 09:13:00 AM
2930,Latitude,47.661708000000004
2930,Longitude,-122.310852
2930,Incident Number,F190048216
2931,Address,4100 Sw Edmunds St
2931,Type,Medic Response
2931,Datetime,05/12/2019 09:02:00 AM
2931,Latitude,47.559314
2931,Longitude,-122.38418899999999
2931,Incident Number,F190048214
2932,Address,1712 Summit Av
2932,Type,Medic Response- 7 per Rule
2932,Datetime,05/12/2019 09:00:00 AM
2932,Latitude,47.616499
2932,Longitude,-122.32554499999999
2932,Incident Number,F190048213
2933,Address,12534 15th Av Ne
2933,Type,Trans to AMR
2933,Datetime,05/12/2019 08:54:00 AM
2933,Latitude,47.719716
2933,Longitude,-122.312678
2933,Incident Number,F190048212
2934,Address,8836 1st Av Ne
2934,Type,Aid Response
2934,Datetime,05/12/2019 08:34:00 AM
2934,Latitude,47.692890999999996
2934,Longitude,-122.328401
2934,Incident Number,F190048211
2935,Address,5243 S Pearl St
2935,Type,Automatic Fire Alarm Resd
2935,Datetime,05/12/2019 08:32:00 AM
2935,Latitude,47.556267
2935,Longitude,-122.266299
2935,Incident Number,F190048209
2936,Address,1229 10th Av E
2936,Type,Auto Fire Alarm
2936,Datetime,05/12/2019 08:32:00 AM
2936,Latitude,47.630743
2936,Longitude,-122.320209
2936,Incident Number,F190048210
2937,Address,1606 42nd Av Sw
2937,Type,Medic Response- 7 per Rule
2937,Datetime,05/12/2019 08:30:00 AM
2937,Latitude,47.589224
2937,Longitude,-122.384976
2937,Incident Number,F190048208
2938,Address,7552 21st Av Sw
2938,Type,Trans to AMR
2938,Datetime,05/12/2019 08:13:00 AM
2938,Latitude,47.534757
2938,Longitude,-122.360401
2938,Incident Number,F190048207
2939,Address,64th Av S / S Prentice St
2939,Type,Car Fire
2939,Datetime,05/12/2019 08:11:00 AM
2939,Latitude,47.508187
2939,Longitude,-122.253551
2939,Incident Number,F190048206
2940,Address,117 18th Av
2940,Type,Aid Response
2940,Datetime,05/12/2019 07:47:00 AM
2940,Latitude,47.602011
2940,Longitude,-122.30896200000001
2940,Incident Number,F190048203
2941,Address,Lanham Pl Sw / Sylvan Way Sw
2941,Type,Medic Response- 6 per Rule
2941,Datetime,05/12/2019 07:41:00 AM
2941,Latitude,47.544653000000004
2941,Longitude,-122.372534
2941,Incident Number,F190048202
2942,Address,8620 53rd Av S
2942,Type,Trans to AMR
2942,Datetime,05/12/2019 07:32:00 AM
2942,Latitude,47.526408
2942,Longitude,-122.266475
2942,Incident Number,F190048201
2943,Address,6940 62nd Av Ne
2943,Type,Aid Response Yellow
2943,Datetime,05/12/2019 07:26:00 AM
2943,Latitude,47.678821
2943,Longitude,-122.262227
2943,Incident Number,F190048200
2944,Address,109 29th Av E
2944,Type,Aid Response
2944,Datetime,05/12/2019 07:16:00 AM
2944,Latitude,47.618997
2944,Longitude,-122.29480900000001
2944,Incident Number,F190048199
2945,Address,11224 CRESTWOOD DR S
2945,Type,Aid Response
2945,Datetime,05/12/2019 07:14:00 AM
2945,Latitude,47.502725
2945,Longitude,-122.24471399999999
2945,Incident Number,F190048198
2946,Address,3801 Discovery Park Blvd
2946,Type,Investigate Out Of Service
2946,Datetime,05/12/2019 07:10:00 AM
2946,Latitude,47.660349
2946,Longitude,-122.408933
2946,Incident Number,F190048197
2947,Address,4023 53rd Av Sw
2947,Type,Aid Response
2947,Datetime,05/12/2019 06:52:00 AM
2947,Latitude,47.568127000000004
2947,Longitude,-122.400714
2947,Incident Number,F190048193
2948,Address,4100 Sw Alaska St
2948,Type,AFA4 - Auto Alarm 2 + 1 + 1
2948,Datetime,05/12/2019 06:48:00 AM
2948,Latitude,47.561096
2948,Longitude,-122.38413700000001
2948,Incident Number,F190048191
2949,Address,9602 42nd Av Ne
2949,Type,Medic Response
2949,Datetime,05/12/2019 06:44:00 AM
2949,Latitude,47.698665999999996
2949,Longitude,-122.282677
2949,Incident Number,F190048190
2950,Address,6900 37th Av S
2950,Type,Aid Response
2950,Datetime,05/12/2019 06:43:00 AM
2950,Latitude,47.540653999999996
2950,Longitude,-122.286239
2950,Incident Number,F190048189
2951,Address,8620 26th Av Sw
2951,Type,Aid Response
2951,Datetime,05/12/2019 06:37:00 AM
2951,Latitude,47.525875
2951,Longitude,-122.36586899999999
2951,Incident Number,F190048188
2952,Address,1818 Westlake Av N
2952,Type,Aid Response
2952,Datetime,05/12/2019 06:29:00 AM
2952,Latitude,47.635238
2952,Longitude,-122.340447
2952,Incident Number,F190048187
2953,Address,219 Pontius Av N
2953,Type,Trans to AMR
2953,Datetime,05/12/2019 06:28:00 AM
2953,Latitude,47.619877
2953,Longitude,-122.331698
2953,Incident Number,F190048186
2954,Address,9818 5th Av Ne
2954,Type,Aid Response
2954,Datetime,05/12/2019 06:09:00 AM
2954,Latitude,47.700495000000004
2954,Longitude,-122.323118
2954,Incident Number,F190048184
2955,Address,223 W Galer St
2955,Type,Aid Response
2955,Datetime,05/12/2019 06:02:00 AM
2955,Latitude,47.632321000000005
2955,Longitude,-122.35980900000001
2955,Incident Number,F190048183
2956,Address,6336 Hampton Rd S
2956,Type,Aid Response
2956,Datetime,05/12/2019 05:59:00 AM
2956,Latitude,47.545865
2956,Longitude,-122.260516
2956,Incident Number,F190048182
2957,Address,820 Nw 95th St
2957,Type,Aid Response
2957,Datetime,05/12/2019 05:59:00 AM
2957,Latitude,47.697866999999995
2957,Longitude,-122.36701599999999
2957,Incident Number,F190048181
2958,Address,216 25TH AV S
2958,Type,Aid Response
2958,Datetime,05/12/2019 05:49:00 AM
2958,Latitude,47.600735
2958,Longitude,-122.29999199999999
2958,Incident Number,F190048180
2959,Address,2519 1st Av
2959,Type,Trans to AMR
2959,Datetime,05/12/2019 05:35:00 AM
2959,Latitude,47.614798
2959,Longitude,-122.348918
2959,Incident Number,F190048178
2960,Address,517 3rd Av
2960,Type,Aid Response
2960,Datetime,05/12/2019 05:06:00 AM
2960,Latitude,47.602171999999996
2960,Longitude,-122.330863
2960,Incident Number,F190048177
2961,Address,2020 S JACKSON ST
2961,Type,Aid Response
2961,Datetime,05/12/2019 05:00:00 AM
2961,Latitude,47.599261
2961,Longitude,-122.30525800000001
2961,Incident Number,F190048176
2962,Address,318 2nd Av Et S
2962,Type,Aid Response
2962,Datetime,05/12/2019 05:00:00 AM
2962,Latitude,47.600194
2962,Longitude,-122.330541
2962,Incident Number,F190048175
2963,Address,811 Maynard Av S
2963,Type,Trans to AMR
2963,Datetime,05/12/2019 04:56:00 AM
2963,Latitude,47.595741
2963,Longitude,-122.32506799999999
2963,Incident Number,F190048174
2964,Address,7300 Woodlawn Av Ne
2964,Type,Auto Fire Alarm
2964,Datetime,05/12/2019 04:04:00 AM
2964,Latitude,47.681177000000005
2964,Longitude,-122.32515
2964,Incident Number,F190048170
2965,Address,5012 Renton Av S
2965,Type,Aid Response
2965,Datetime,05/12/2019 03:59:00 AM
2965,Latitude,47.556615
2965,Longitude,-122.28865400000001
2965,Incident Number,F190048167
2966,Address,6709 29th Av S
2966,Type,1RED 1 Unit
2966,Datetime,05/12/2019 03:54:00 AM
2966,Latitude,47.542528000000004
2966,Longitude,-122.295818
2966,Incident Number,F190048166
2967,Address,328 Ne Northgate Way
2967,Type,Auto Fire Alarm
2967,Datetime,05/12/2019 03:38:00 AM
2967,Latitude,47.708609
2967,Longitude,-122.325576
2967,Incident Number,F190048163
2968,Address,2030 3rd Av
2968,Type,Aid Response
2968,Datetime,05/12/2019 03:36:00 AM
2968,Latitude,47.612626
2968,Longitude,-122.341277
2968,Incident Number,F190048162
2969,Address,516 E Union St
2969,Type,Aid Response
2969,Datetime,05/12/2019 03:16:00 AM
2969,Latitude,47.612989
2969,Longitude,-122.32529199999999
2969,Incident Number,F190048160
2970,Address,Rainier Av S / S Kenyon St
2970,Type,Aid Response
2970,Datetime,05/12/2019 02:39:00 AM
2970,Latitude,47.531582
2970,Longitude,-122.26998999999999
2970,Incident Number,F190048158
2971,Address,12325 30th Av Ne
2971,Type,Aid Response
2971,Datetime,05/12/2019 02:27:00 AM
2971,Latitude,47.717822999999996
2971,Longitude,-122.296319
2971,Incident Number,F190048156
2972,Address,204 Ne 94th St
2972,Type,Aid Response
2972,Datetime,05/12/2019 02:22:00 AM
2972,Latitude,47.69681
2972,Longitude,-122.327101
2972,Incident Number,F190048153
